Model,MSE,RMSE,WMAPE,R2 Score
Linear Regression,1.996229017155096,1.4128796895543145,0.6542546619821316,0.14572975963003465
Lasso,1.9998182365280333,1.4141492978211434,0.6552306507536891,0.1441937819089868
ElasticNet,2.3369354099287136,1.5287038332943088,0.707803680238803,-7.281590065089105e-05
Gradient Boosting,0.9578213800437508,0.9786834932927758,0.45990989997545567,0.5901080018726658
LightGBM,0.7691762717424278,0.8770269504082687,0.41579359439882063,0.670837167027702
Random Forest,1.6733691719058914,1.2935877132633455,0.5992478881417713,0.28389504789937103
XGBoost,0.291984681589627,0.540356069263247,0.2507737572539363,0.8750474910532078
Ensemble Learning,0.2647949770656906,0.5145823326404537,0.236944009764584,0.8866831076180615
