Model,MSE,RMSE,WMAPE,R2 Score
Linear Regression,0.4909590833372143,0.7006847246352772,0.15643160612084617,0.2575831189354272
Lasso,0.48946705030229704,0.6996192180767314,0.15560454731204867,0.25983933651001423
ElasticNet,0.6623980224996194,0.8138783831136072,0.17451161333396292,-0.0016628484490897044
Gradient Boosting,0.1490019055917027,0.38600764965438533,0.08059557980924434,0.7746827917509174
LightGBM,0.0927369657958442,0.3045274467036497,0.06216732141012755,0.8597653221169685
Random Forest,0.3439558925895407,0.5864775294839016,0.12822290858438118,0.4798779171894547
XGBoost,0.09175555839209151,0.30291179969108417,0.060384996513402574,0.8612493835153139
Ensemble Learning,0.08012915041753971,0.283070928245095,0.0567329549202384,0.8788305666309798
