Level,2019,2020,2021,2022,Mean
Grid,0.8674777763228787,0.8752866282165037,0.8295040175885446,0.7951932525127512,0.8418654186601695
Plant,0.8528401529410412,0.8198014057894046,0.7589370151976136,0.7533916561148353,0.7962425575107237
