IDCode,Year,Month,CO_MEAN,NO2_MEAN,PM2_5_MEAN,PM10_MEAN,SO2_MEAN,LSTA_MEAN,LSTT_MEAN,NTL_MEAN,O3_MEAN,PM1_MEAN
915677,2019,1,2.12999987602,47.6000022888,45.2999992371,77.90000152589998,41.9000015259,28312.9032258,28485.516129,8.8316668272,77.40000152589998,27.2000007629
915677,2019,2,1.28999996185,33.6000022888,25.5,53.7000007629,36.7000007629,28639.2857143,28876.3928571,10.2716668049,85.0999984741,15.1999998093
915677,2019,3,0.989999949932,37.9000015259,33.4000015259,65.0999984741,32.5,28903.2258065,29126.4193548,9.26999990145,107.099998474,19.8999996185
915677,2019,4,1.04999995232,37.5,29.3999996185,61.1000022888,25.5,29426.6666667,29545.3,10.8483333985,134.800003052,16.3000011444
915677,2019,5,0.870000004768,28.8000011444,27.2000007629,59.7999992371,21.3000011444,29809.6774194,29916.516129,10.4233334064,151.100006104,14.8000001907
915677,2019,6,0.719999969006,24.8999996185,16.1000003815,35.7999992371,18.3000011444,30190.0,29946.2333333,8.88166666031,114.200004578,9.10000038147
915677,2019,7,1.02999997139,18.5,25.8999996185,45.1000022888,28.0,29929.0322581,29692.0645161,0.740000009537,93.5,15.0
915677,2019,8,1.35000002384,26.7000007629,35.5,54.4000015259,32.4000015259,29796.7741935,29652.3870968,7.4433333079,139.900009155,20.8999996185
915677,2019,9,0.949999988079,22.5,27.2000007629,45.2999992371,26.0,29620.0,29208.7,9.19833334287,86.3000030518,16.5
915677,2019,10,0.939999997616,25.8000011444,26.2000007629,44.7999992371,25.1000003815,29300.0,29200.8064516,13.9349998633,84.5,16.3999996185
915677,2019,11,1.28999996185,37.7000007629,32.5,56.4000015259,30.6000003815,28830.0,28946.4333333,12.5916668574,76.3000030518,20.3999996185
915677,2019,12,1.86000001431,44.2999992371,42.6000022888,69.9000015259,40.0,28232.2580645,28356.3548387,10.3250000874,66.0,27.0
915677,2020,1,1.81999993324,38.7999992371,40.6000022888,59.4000015259,29.3000011444,28293.5483871,28466.7741935,11.9316666921,72.8000030518,23.8999996185
915677,2020,2,1.52999997139,32.1000022888,37.1000022888,50.5,28.5,28451.7241379,28674.5862069,11.3150001367,94.0,23.3000011444
915677,2020,3,1.07999992371,34.7000007629,31.3000011444,49.7999992371,22.2000007629,29003.2258065,29273.5483871,11.8833329678,114.400001526,18.3999996185
915677,2020,4,1.02999997139,32.7000007629,31.7000007629,51.7999992371,19.3000011444,29103.3333333,29423.4333333,10.4833333492,125.200004578,18.5
915677,2020,5,0.870000004768,26.8999996185,20.2000007629,36.2000007629,16.3000011444,29477.4193548,29699.8387097,14.2033335368,123.400001526,11.1000003815
915677,2020,6,0.719999969006,22.5,14.6999998093,27.8999996185,18.5,29810.0,29976.3666667,7.96833348274,104.400001526,104.400001526
915677,2020,7,0.879999995232,22.8000011444,17.7000007629,31.7000007629,21.5,29712.9032258,29766.7096774,6.86833333969,80.3000030518,80.3000030518
915677,2020,8,1.01999998093,21.5,22.6000003815,36.9000015259,21.8999996185,29593.5483871,29534.3870968,9.32833341757,94.8000030518,13.4000005722
915677,2020,9,1.07999992371,23.0,27.7000007629,43.0,25.3999996185,29486.6666667,29454.2666667,10.4500000874,78.0999984741,16.3999996185
915677,2020,10,1.02999997139,24.3999996185,25.2000007629,42.4000015259,27.3000011444,29183.8709677,29326.3225806,5.30333324273,66.0,15.6999998093
915677,2020,11,1.69999992847,36.0,38.6000022888,62.7999992371,25.1000003815,28640.0,28772.9333333,10.9066668351,66.5999984741,24.8000011444
915677,2020,12,2.03999996185,44.0,52.6000022888,81.3000030518,28.3999996185,28293.5483871,28443.2258065,10.6099996567,73.90000152589998,32.2999992371
915677,2021,1,1.65999996662,40.2999992371,56.7000007629,82.3000030518,26.6000003815,28035.483871,28391.9677419,10.730000178,87.0999984741,31.3999996185
915677,2021,2,1.57999992371,32.7999992371,43.2000007629,59.0,34.1000022888,28378.5714286,28727.8571429,11.0533331235,102.5,25.2000007629
915677,2021,3,1.54999995232,34.4000015259,53.9000015259,74.3000030518,29.1000003815,28906.4516129,29242.2903226,10.6933334271,124.5,29.1000003815
915677,2021,4,1.12999999523,30.7000007629,40.2999992371,58.2999992371,22.7000007629,29390.0,29579.5,11.5800000827,139.100006104,22.2000007629
915677,2021,5,0.77999997139,24.0,20.5,33.1000022888,15.3000001907,30225.8064516,29821.0645161,11.1116668383,135.300003052,10.8000001907
915677,2021,6,0.77999997139,21.8000011444,20.7000007629,31.6000003815,24.7000007629,30043.3333333,29851.3,1.14000002543,110.900001526,11.4000005722
915677,2021,7,0.759999990463,16.3000011444,20.5,29.2000007629,14.6999998093,30016.1290323,29664.2903226,10.403333346,107.400001526,11.4000005722
915677,2021,8,0.839999973774,20.8000011444,22.8999996185,33.2999992371,15.1999998093,30248.3870968,29643.6129032,18.0116664569,99.2000045776,12.6999998093
915677,2021,9,0.839999973774,17.7000007629,20.8999996185,30.1000003815,12.9000005722,29763.3333333,29395.9,9.57000005245,92.8000030518,12.0
915677,2021,10,0.829999983311,19.3999996185,21.3000011444,32.9000015259,13.4000005722,29358.0645161,29277.3225806,10.6550000111,73.0,12.5
915677,2021,11,0.939999997616,28.3999996185,27.8999996185,43.7999992371,16.2000007629,28440.0,28774.1666667,11.0533335209,73.40000152589998,16.5
915677,2021,12,1.10000002384,33.9000015259,37.1000022888,54.5,20.3999996185,28206.4516129,28504.6129032,11.8383334478,70.0999984741,22.0
915677,2022,1,1.73000001907,38.7000007629,40.6000022888,56.6000022888,23.3000011444,28186.9354839,28413.6451613,13.2800002098,78.8000030518,
915677,2022,2,1.37999999523,29.1000003815,28.1000003815,42.2000007629,24.0,28251.5,28518.0714286,13.2183332443,88.7000045776,
915677,2022,3,1.52999997139,37.7999992371,36.0,61.2999992371,22.6000003815,29038.516129,29308.0,12.9766664505,123.200004578,
915677,2022,4,1.02999997139,27.8000011444,27.6000003815,48.7000007629,18.2000007629,29120.7,29408.2333333,10.0416665077,118.0,
915677,2022,5,0.930000007153,23.0,20.1000003815,33.9000015259,15.5,29292.4516129,29410.5806452,11.5633331935,109.800003052,
915677,2022,6,0.810000002384,19.8999996185,15.8000001907,28.5,14.6000003815,29391.0333333,29563.8666667,12.710000356,93.4000015259,
915677,2022,7,0.839999973774,20.7000007629,18.3000011444,33.0,18.3000011444,29457.1935484,29691.6774194,0.0,114.400001526,
915677,2022,8,0.949999988079,22.8999996185,18.3999996185,36.4000015259,16.8000011444,29417.6774194,29614.8064516,0.588333328565,116.700004578,
915677,2022,9,0.919999957085,22.2000007629,21.6000003815,38.9000015259,29.3000011444,29263.4666667,29388.1333333,9.53000005086,85.0,
915677,2022,10,1.04999995232,26.8000011444,24.8999996185,42.2000007629,24.6000003815,29077.7741935,29247.2903226,9.24500000477,73.90000152589998,
915677,2022,11,1.75999999046,38.4000015259,27.5,52.2999992371,22.2000007629,28504.5666667,28771.6,10.9100002448,95.2000045776,
915677,2022,12,1.7199999094,36.9000015259,38.4000015259,61.7999992371,25.3000011444,28181.7419355,28403.5806452,9.13499999046,81.40000152589998,
951375,2019,1,0.930000007153,22.3000011444,24.0,42.1000022888,11.6000003815,28288.7096774,28425.1451613,13.7399998109,73.0999984741,16.8000011444
951375,2019,2,0.789999961853,19.7000007629,30.0,48.0,10.6999998093,28476.7857143,28711.0,13.2100000779,106.200004578,20.2000007629
951375,2019,3,0.849999964237,26.5,40.7000007629,66.5999984741,11.9000005722,28801.6129032,28992.6935484,15.2933334245,127.099998474,25.7000007629
951375,2019,4,0.8599999547,23.3000011444,45.1000022888,77.5,13.1999998093,29291.6666667,29398.9,17.6511107021,151.100006104,28.3999996185
951375,2019,5,0.759999990463,19.2000007629,32.7999992371,62.2000007629,11.6999998093,29745.1612903,29716.4193548,13.6477777958,147.600006104,20.2000007629
951375,2019,6,0.550000011921,14.1999998093,13.1000003815,25.3999996185,9.60000038147,29865.0,29578.2166667,10.5211110115,93.0999984741,7.5
951375,2019,7,0.610000014305,15.4000005722,13.6000003815,24.8000011444,12.3000001907,29795.1612903,29468.016129,7.90666684839,71.9000015259,8.30000019073
951375,2019,8,0.789999961853,18.7000007629,20.5,33.7999992371,19.3999996185,29751.6129032,29405.3064516,4.07777780957,103.300003052,12.9000005722
951375,2019,9,0.709999978542,19.3000011444,19.3999996185,34.2999992371,13.1999998093,29446.6666667,29322.6,10.4966664712,99.0999984741,12.8000001907
951375,2019,10,0.759999990463,18.8999996185,17.0,33.4000015259,13.4000005722,29308.0645161,29171.8064516,6.88999989298,86.40000152589998,10.9000005722
951375,2019,11,0.77999997139,22.1000003815,20.2000007629,38.7000007629,14.3000001907,28836.6666667,28967.7333333,9.77222225401,78.5999984741,13.4000005722
951375,2019,12,0.930000007153,27.0,27.2000007629,47.9000015259,14.8000001907,28248.3870968,28392.3064516,15.5322225359,74.2000045776,18.8000011444
951375,2020,1,0.829999983311,18.6000003815,25.0,40.6000022888,9.9000005722,28370.9677419,28530.4516129,16.8455550141,81.3000030518,17.5
951375,2020,2,0.829999983311,14.1999998093,34.2000007629,47.9000015259,9.5,28455.1724138,28593.2931034,12.0955555704,100.099998474,23.5
951375,2020,3,0.849999964237,24.8999996185,40.9000015259,66.7000045776,10.6000003815,28919.3548387,29110.7580645,13.7788891792,130.600006104,26.5
951375,2020,4,0.75,22.2000007629,37.4000015259,58.7999992371,11.4000005722,29161.6666667,29254.7333333,10.0733333959,121.599998474,23.5
951375,2020,5,0.589999973774,16.0,20.7000007629,41.5,11.3000001907,29774.1935484,29627.7580645,11.749999894,120.700004578,13.3000001907
