plant_id,name_prod,lon,lat,Plant_CO_MEAN,Plant_NO2_MEAN,Plant_SO2_MEAN,Plant_O3_MEAN,Plant_PM10_MEAN,Plant_PM2_5_MEAN,Plant_LSTT_MEAN,Plant_LSTA_MEAN,Plant_NTL_MEAN,year,month
1,东华钢铁,118.256774,39.468366,0.0588631932902139,0.000277582357397,,0.1414044283723373,0.3274122226860503,61.94961352379895,294.1776446704176,279.03113134195473,2.3700395331155817,2018,10
2,东海钢铁,118.624794,39.748373,0.0681962504074029,0.0002727334804429,,0.1418800336737503,0.3935061353941926,79.13288048787528,296.0465469030071,278.4577550206306,3.2849283394007665,2018,10
3,东特,121.759531,39.05443,0.0412918458941292,0.0001012405569265,,0.1397538462386639,0.3250585887888695,35.02440587434832,293.4670033021216,281.8527286736999,17.20453219120213,2018,10
4,中天钢铁,120.081591,31.702681,0.0501309504191909,0.0002798764084408,,0.1224890233365217,0.5264278974311422,76.64230139425854,299.25118236457075,287.07644342764524,13.069209052528985,2018,10
6,佰工钢铁,118.819472,39.748773,0.0657045635978519,0.0002561997615108,,0.1419815570115885,0.3711115771890201,76.67136969757848,294.1111332141185,279.7174468915051,2.603187291450121,2018,10
8,兴澄特钢,120.320504,31.938905,0.0470341022127824,0.0002349679099194,,0.1227719775782462,0.5546986766426815,73.58303082107234,298.4399442533334,287.53796587985295,15.668764371684889,2018,10
9,冷钢,111.437288,27.690401,0.051675615087798,6.911172781739031e-05,,0.1175409824243285,0.3362945279982731,83.75593957483204,298.1817890023722,285.84647640082363,1.7127210925659646,2018,10
10,凌钢集团,119.41374,41.271048,0.0396269922029473,4.978424057582937e-05,,0.1442441770489961,0.2310999061443435,44.54255151576116,293.48692508754533,276.5242533725974,2.9838848395307003,2018,10
11,凤宝特钢,113.872158,36.131666,0.0579435370877464,0.0002075852376539,,0.1329839788941197,0.4472284612017675,99.91933839242486,298.34074342063434,282.6042030203333,2.578015430160148,2018,10
13,南钢股份,118.746315,32.200797,0.045456217125643,0.0001927108241927,,0.1232995138920695,0.5262737476068347,89.14907567714181,297.73730042988234,286.7137421018087,13.361006179833195,2018,10
17,太钢,112.57052,37.970033,0.0381788164443229,0.0002171460325726,,0.1358829864101104,0.2519197362400973,98.88742245098106,292.709423578986,277.82876972660654,13.075054149968484,2018,10
19,宁波钢铁,121.876423,29.918776,0.0392217014009814,0.0001304739047493,,0.1204421193799109,0.481169520940185,47.97842846250818,298.5916336525056,287.9633852267508,17.78192174966088,2018,10
20,安徽富鑫,118.067833,31.194505,0.0477886839233218,0.0001276707114519,,0.1222250255327642,0.5160163289092325,76.99965241816685,296.8899688507377,286.4899442127592,2.5650938887494497,2018,10
21,安徽贵航,117.251147,30.531068,0.0455315898009753,0.0001143753787368,,0.1215811568847577,0.362673197456449,77.52618813583467,297.49100973134546,286.5354301776001,2.8570274479298443,2018,10
22,安钢信阳,114.038243,32.488704,0.0419871210245753,9.185670807715924e-05,,0.1241015800537034,0.4558627384123335,101.22401761236688,301.31433817980394,283.476126225952,1.1806534019362482,2018,10
23,安钢股份,114.283145,36.122129,0.0581359221603574,0.0002666205241668,,0.1335559213131814,0.5844227774054577,118.43598274470828,299.5210652180859,283.4521906556603,5.887517522199289,2018,10
24,宏兴钢铁,118.871477,39.700721,0.0664446697744963,0.0002605657648922,,0.1418720526074377,0.3762350014866105,76.67136969757848,294.7873867989816,278.9285166671331,2.464091816684075,2018,10
26,宝武鄂钢,114.861313,30.39574,0.0468342784771686,0.0001410205387195,,0.1211234920123824,0.4326242179388468,103.14362613764114,299.35326048693923,288.2642255523992,7.224523741953299,2018,10
27,宝钢八钢,87.304639,43.852147,0.0376740393075858,0.0002439954813819,,0.1354317989392655,0.1873350627535202,52.40912711807647,292.97906756274693,276.9644547135807,6.191549238348285,2018,10
28,宝钢股份,121.440087,31.41623,0.0442667385570371,0.0001852069965818,,0.1219530746469067,0.566363689855659,72.70257509071607,300.27811031111264,288.8532251622245,19.88940906535176,2018,10
29,山西中阳,111.161118,37.370796,0.0359801705821799,0.0001173281000797,,0.1335838697596456,0.1797623646281062,76.65227741426861,289.91615233830623,277.21780928597104,1.7442107587726676,2018,10
30,山西建邦,111.37916,35.668163,0.0621060540641787,0.0001988124517854,,0.1305110344323621,0.4192878694384724,110.25834693681064,298.81164983163575,280.33943941808,2.925283577440484,2018,10
32,山西晋南,111.51465,35.678541,0.0573206968059887,0.0001863236986504,,0.130530422081682,0.3671745219723467,93.63144926055612,299.321425712568,280.10273951960886,1.840712618884954,2018,10
33,山西高义,111.258436,35.586841,0.0569700108877626,0.0001754800684866,,0.1304244841803865,0.3944072582367275,111.57070672126132,298.0070808697345,280.8166424360072,1.529869986902752,2018,10
34,广东韶钢,113.654289,24.704815,0.0457413134412083,5.7897798008376256e-05,,0.1170509495709559,0.2792345207199352,65.2143709352604,299.8436538503874,288.9828921644888,3.6973528291014746,2018,10
35,建龙西林,129.287919,47.495036,0.0367452864544064,2.397751934897315e-05,,0.1530058420550024,0.0832896819991733,18.60566262567876,286.9562276065802,276.679792808627,0.4614936920423279,2018,10
36,德龙控股,114.384832,37.086116,0.0544956671790093,0.0003129709554209,,0.13558375640847,0.5066920664755116,121.65860141521988,298.3964309478731,282.39374106846594,4.783367351848647,2018,10
38,攀钢集团,101.693628,26.551896,0.0392502916785667,7.771988883023906e-05,,0.1145267629663271,0.2400641104441449,58.469968422514285,299.27521084886075,289.94853064547334,4.016383443683608,2018,10
39,新兴铸管,114.128189,36.621504,0.0632630759412242,0.0003427652539895,,0.134156873778159,0.5018846328626664,105.30146308914438,298.1240769321174,282.3635368792564,3.536805647248729,2018,10
40,新金钢铁,114.216151,36.715444,0.0665392404046365,0.0003593022573177,,0.1344613222655792,0.5101810802390889,112.48225525091004,299.02312877025577,282.0924697351732,3.454435036563927,2018,10
41,新钢集团,114.932403,27.790574,0.0477045065739157,0.0001215505507473,,0.1186281573310386,0.3640858527375079,72.91433572367899,300.0823255011883,286.8712477129811,4.576347412737843,2018,10
42,方大特钢,115.99204,28.645441,0.0450251751343281,9.773221631375457e-05,,0.119823442893903,0.4191058838213259,77.52857555942683,300.4107523909515,288.36765022253155,14.495692304971673,2018,10
43,日照钢铁,119.36115,35.158382,0.0587931919811435,0.0002184986788083,,0.1312480758692422,0.3863364563391279,67.27522496659701,296.93707178769995,284.653229888045,10.878760547516734,2018,10
44,日钢营口,122.395441,40.671136,0.048711642368208,0.0001054804624295,,0.143960547181559,0.2968681564466739,81.46474073100762,291.26107381580107,279.87321735038665,4.926697186057241,2018,10
45,普阳钢铁,113.925994,36.733675,0.0742999202382229,0.0003120815973534,,0.1339743739912366,0.4663208147227618,102.23240449138068,296.21100334692403,281.3349212128939,0.9505102548719836,2018,10
46,本钢集团,123.722099,41.274132,0.0500566020732223,0.000173558547674,,0.1446891396032586,0.1590973807272507,52.969687086882665,290.1941105517266,279.3429375497195,7.87519944265488,2018,10
47,柳钢集团,109.373148,24.379047,0.0523602446179081,0.0001178860070518,,0.1162012983001832,0.3804438181208505,60.76134430702278,302.6426611943229,290.8348040273903,11.94688929506681,2018,10
48,桂万钢,108.412344,21.687637,0.0456977198077857,5.3197999958357e-05,,0.1173370482346339,0.3559770237782196,45.64554956232314,301.7319637814188,293.4989243330491,5.209060264206899,2018,10
49,武安文安,114.177621,36.684389,0.0673617894710348,0.00036750791137,,0.1343246157965877,0.5164429574866456,109.1790036783922,298.90395614694734,282.27977247729274,4.204034181689973,2018,10
50,武汉武钢,114.444975,30.616222,0.050421609152207,0.0002042901360943,,0.1211730296416047,0.5065760181096752,112.7521542798604,298.2030880379574,289.0061686683126,13.089367392773058,2018,10
51,永钢集团,120.739658,31.839485,0.0479259860400762,0.0002140644349808,,0.1225290123423029,0.520170995035846,69.39356467228208,297.3423690834068,286.76420425067346,5.723380409286048,2018,10
52,汉冶特钢,111.534635,33.269324,0.0438446549497316,6.318446805001424e-05,,0.1252209978504616,0.2859996720370406,82.9274071634245,297.23636385818907,284.77808032058687,1.5454825170381197,2018,10
53,江苏镔鑫,119.279989,35.09556,0.0583049022676065,0.0002035348725369,,0.1311748529015586,0.3904281553662448,72.06477264466413,297.2776754287713,283.86896034535937,7.359087827558221,2018,10
55,沙钢股份,120.647295,31.967456,0.047410762597286,0.0002136285739264,,0.1227425974179516,0.5301942731168022,70.17725666686307,298.0597746217381,286.90945815557177,8.698209292676243,2018,10
57,河北新华,117.784839,38.288605,0.0548735441826487,0.0001830630880349,,0.1386517781339175,0.5392051255050758,75.37908764387272,293.13772675350407,284.8590705757018,9.1636904035213,2018,10
58,河北津西,118.220547,40.209844,0.04902040949835,0.0001301386350599,,0.1429895874489517,0.3919515598347452,93.01585751419748,291.82082371589087,280.65450332475194,1.855744444233848,2018,10
59,河北烘熔,113.981172,36.640411,0.0667996208862255,0.0003066667370928,,0.133932390332107,0.4896906468943948,103.6238472806872,296.62433615386306,281.86442312011707,1.2479356322094906,2018,10
60,河北荣钢,118.558755,39.880661,0.0682213150233175,0.0002770530675915,,0.142226458584153,0.3982316052896404,81.69793136114498,294.5043141768716,279.6558980131437,3.550104909171679,2018,10
61,河钢承钢,117.734527,40.952513,0.043659948629364,0.0001064347773594,,0.1439867128273412,0.271760039874934,54.20485058544136,291.1356670960179,277.56412240469496,2.741983403715548,2018,10
62,河钢舞钢,113.492311,33.28384,0.0437130547927604,0.0001143993054539,,0.1259607870123839,0.4094602422324194,105.64244605524794,297.9830633654216,285.2958616683893,2.2291216713933246,2018,10
63,泰山钢铁,117.627728,36.22141,0.0550813382764244,0.0001971626155102,,0.1337440139043642,0.5246055078125376,92.04218542890884,295.784681198241,281.00073957383864,5.199093474371016,2018,10
64,济源钢厂,112.553774,35.086396,0.0487002203556678,0.000173000929883,,0.1300833310246734,0.4800775177134547,123.64502486466507,298.378380244923,284.1255938894701,3.626607911374011,2018,10
67,海城恒盛,122.83646,41.056042,0.0492285043177982,0.000140350961871,,0.1453935318388849,0.2951551270214655,59.27892132717716,293.353095746106,276.4212283893669,3.427229361670479,2018,10
68,涟钢,111.967343,27.747782,0.0465540850063732,8.675114653750213e-05,,0.1181634096838348,0.34452818172128,87.20358835034858,300.2051002468622,286.55140295578224,4.528243820595869,2018,10
69,淮钢特钢,118.988442,33.566039,0.0476163292488557,0.0001485594349587,,0.1267030132392866,0.6249811143529583,72.35946189609217,298.20431070552115,284.8227137088069,13.62582481658603,2018,10
70,港陆钢铁,118.073913,40.183913,0.0481758644191053,0.0001419658949297,,0.1429571585268045,0.4027570907282009,97.65908970393866,292.486467851735,279.665130185119,2.061138963713865,2018,10
