,IDCode,Year,Month,CO_MEAN,NO2_MEAN,PM2_5_MEAN,PM10_MEAN,SO2_MEAN,LSTA_MEAN,LSTT_MEAN,NTL_MEAN,O3_MEAN,GridProd_Steel_tot,GridProd_Iron_tot,Polygon_ID,Centroid_Long,Centroid_Lat
0,915677,2019,1,2.12999987602,47.6000022888,45.2999992371,77.90000152589998,41.9000015259,28312.9032258,28485.516129,8.8316668272,77.40000152589998,25.3270197138292,26.8440784941126,3598,101.69922624799632,26.5488075663456
1,915677,2019,2,1.28999996185,33.6000022888,25.5,53.7000007629,36.7000007629,28639.2857143,28876.3928571,10.2716668049,85.0999984741,23.0936529489974,24.2176158841018,3598,101.69922624799632,26.5488075663456
2,915677,2019,3,0.989999949932,37.9000015259,33.4000015259,65.0999984741,32.5,28903.2258065,29126.4193548,9.26999990145,107.099998474,25.9414139607386,26.9751104425056,3598,101.69922624799632,26.5488075663456
3,915677,2019,4,1.04999995232,37.5,29.3999996185,61.1000022888,25.5,29426.6666667,29545.3,10.8483333985,134.800003052,25.5483181155596,26.4859245018384,3598,101.69922624799632,26.5488075663456
4,915677,2019,5,0.870000004768,28.8000011444,27.2000007629,59.7999992371,21.3000011444,29809.6774194,29916.516129,10.4233334064,151.100006104,26.730517472172,27.924364113086,3598,101.69922624799632,26.5488075663456
5,915677,2019,6,0.719999969006,24.8999996185,16.1000003815,35.7999992371,18.3000011444,30190.0,29946.2333333,8.88166666031,114.200004578,25.5628772209366,27.22552705499,3598,101.69922624799632,26.5488075663456
6,915677,2019,7,1.02999997139,18.5,25.8999996185,45.1000022888,28.0,29929.0322581,29692.0645161,0.740000009537,93.5,24.5262689180942,25.6618791375002,3598,101.69922624799632,26.5488075663456
7,915677,2019,8,1.35000002384,26.7000007629,35.5,54.4000015259,32.4000015259,29796.7741935,29652.3870968,7.4433333079,139.900009155,24.9630420794042,26.1568887203182,3598,101.69922624799632,26.5488075663456
8,915677,2019,9,0.949999988079,22.5,27.2000007629,45.2999992371,26.0,29620.0,29208.7,9.19833334287,86.3000030518,25.2484005447934,26.5907500605528,3598,101.69922624799632,26.5488075663456
9,915677,2019,10,0.939999997616,25.8000011444,26.2000007629,44.7999992371,25.1000003815,29300.0,29200.8064516,13.9349998633,84.5,27.0682887169184,28.5329347178446,3598,101.69922624799632,26.5488075663456
10,915677,2019,11,1.28999996185,37.7000007629,32.5,56.4000015259,30.6000003815,28830.0,28946.4333333,12.5916668574,76.3000030518,24.3486478324948,25.6589673164248,3598,101.69922624799632,26.5488075663456
11,915677,2019,12,1.86000001431,44.2999992371,42.6000022888,69.9000015259,40.0,28232.2580645,28356.3548387,10.3250000874,66.0,23.8944037447324,25.2571360080196,3598,101.69922624799632,26.5488075663456
12,915677,2020,1,1.81999993324,38.7999992371,40.6000022888,59.4000015259,29.3000011444,28293.5483871,28466.7741935,11.9316666921,72.8000030518,25.7521455908376,27.0712005379938,3598,101.69922624799632,26.5488075663456
13,915677,2020,2,1.52999997139,32.1000022888,37.1000022888,50.5,28.5,28451.7241379,28674.5862069,11.3150001367,94.0,22.5433187657468,23.7488126909624,3598,101.69922624799632,26.5488075663456
14,915677,2020,3,1.07999992371,34.7000007629,31.3000011444,49.7999992371,22.2000007629,29003.2258065,29273.5483871,11.8833329678,114.400001526,22.5899079029532,23.8303436810736,3598,101.69922624799632,26.5488075663456
15,915677,2020,4,1.02999997139,32.7000007629,31.7000007629,51.7999992371,19.3000011444,29103.3333333,29423.4333333,10.4833333492,125.200004578,22.8461481575884,23.9031392079586,3598,101.69922624799632,26.5488075663456
16,915677,2020,5,0.870000004768,26.8999996185,20.2000007629,36.2000007629,16.3000011444,29477.4193548,29699.8387097,14.2033335368,123.400001526,23.3906586986882,24.342824190344,3598,101.69922624799632,26.5488075663456
17,915677,2020,6,0.719999969006,22.5,14.6999998093,27.8999996185,18.5,29810.0,29976.3666667,7.96833348274,104.400001526,23.9963174823714,25.1959877654362,3598,101.69922624799632,26.5488075663456
18,915677,2020,7,0.879999995232,22.8000011444,17.7000007629,31.7000007629,21.5,29712.9032258,29766.7096774,6.86833333969,80.3000030518,26.5354254601202,27.8282740175978,3598,101.69922624799632,26.5488075663456
