Metric,Value
R²,0.8750474910532078
RMSE,0.540356069263247
CV_R²_mean,0.873330510076659
CV_R²_std,0.0019239638426880837
CV_RMSE_mean,0.5412951768766332
CV_RMSE_std,0.0024214683620518928
