Spec,Variant,city,n_plants,n_obs,R2_log,Spearman,R2_demeaned,R2_log_relev
M_base (lat/lon),Demeaned,Changzhi,1.0,45.0,,0.9779,0.8639,0.8639
M_base (lat/lon),Demeaned,Dongli District,1.0,45.0,,0.9755,0.9342,0.9342
M_base (lat/lon),Demeaned,Ezhou,1.0,45.0,,0.9161,0.0676,0.0676
M_base (lat/lon),Demeaned,Fangchenggang,1.0,32.0,,0.6455,-1.2359,-1.2359
M_base (lat/lon),Demeaned,Chizhou,1.0,43.0,,0.9651,0.8053,0.8053
M_base (lat/lon),Demeaned,Hanzhong City,1.0,43.0,,0.9437,0.6251,0.6251
M_base (lat/lon),Demeaned,Hejin,1.0,45.0,,0.7588,-0.7786,-0.7786
M_base (lat/lon),Demeaned,Dalian,1.0,45.0,,0.9253,-0.0604,-0.0604
M_base (lat/lon),Demeaned,Chengde,1.0,45.0,,0.9842,0.9868,0.9868
M_base (lat/lon),Demeaned,Benxi,1.0,45.0,,0.3659,-8.549,-8.549
M_base (lat/lon),Demeaned,Changshou,1.0,45.0,,0.9914,0.9844,0.9844
M_base (lat/lon),Demeaned,Anyang,1.0,45.0,,0.988,0.9182,0.9182
M_base (lat/lon),Demeaned,Baoshan,1.0,45.0,,0.5622,-4.495,-4.495
M_base (lat/lon),Demeaned,Lengshuijiang,1.0,45.0,,0.9858,0.8605,0.8605
M_base (lat/lon),Demeaned,Lanzhou,1.0,21.0,,0.5119,0.708,0.708
M_base (lat/lon),Demeaned,Jiujiang,1.0,45.0,,0.6309,-0.1384,-0.1384
M_base (lat/lon),Demeaned,Jiangyin,1.0,45.0,,0.9634,0.9657,0.9657
M_base (lat/lon),Demeaned,Huai'an,1.0,45.0,,0.8734,0.6858,0.6858
M_base (lat/lon),Demeaned,Huangshi,1.0,45.0,,0.9592,0.9327,0.9327
M_base (lat/lon),Demeaned,Lvliang,1.0,45.0,,0.8729,-0.8336,-0.8336
M_base (lat/lon),Demeaned,Lianyungang,1.0,45.0,,0.9899,0.9877,0.9877
M_base (lat/lon),Demeaned,Nanjing,1.0,45.0,,0.7946,-0.4926,-0.4926
M_base (lat/lon),Demeaned,Nanchang,1.0,45.0,,0.9515,0.957,0.957
M_base (lat/lon),Demeaned,Ningbo,1.0,45.0,,0.9485,0.9641,0.9641
M_base (lat/lon),Demeaned,Nanyang,1.0,45.0,,0.9769,0.8924,0.8924
M_base (lat/lon),Demeaned,Quzhou,1.0,45.0,,0.9945,0.9887,0.9887
M_base (lat/lon),Demeaned,Ma'anshan,1.0,36.0,,0.984,0.893,0.893
M_base (lat/lon),Demeaned,Liupanshui,1.0,45.0,,0.9708,0.9437,0.9437
M_base (lat/lon),Demeaned,Loudi,1.0,45.0,,0.8269,0.4779,0.4779
