level,n,r,R2_coefdet,RMSE_pp,MAE_pp,std_actual_pp,w_r,w_R2_coefdet,w_RMSE_pp,w_MAPE_pp,n_top50,r_top50,R2_top50,n_top25,r_top25,R2_top25,agg_actual_growth_pct,agg_pred_growth_pct,agg_abs_err_pp
plant,93,0.2345,-0.8476,22.96,17.06,16.98,0.1082,-1.66,21.92,17.02,47,0.0525,-1.295,24,0.274,-1.7344,-1.404,-10.982,9.578
grid,616,0.0186,-5.6498,39.34,23.93,15.27,-0.0115,-3.7039,27.81,20.32,308,0.0078,-2.2319,154,0.038,-3.6616,-0.387,-10.838,10.451
