Level,Year,R2,RMSE_log,N_train,N_test
Grid,2019,0.7862904991117399,0.6965407326175489,3873,969
Grid,2020,0.80673313921661,0.6727339749242307,5393,1349
Grid,2021,0.7334696803868226,0.7585606776694274,5894,1474
Grid,2022,0.7434520704897084,0.7957450941379303,5998,1500
Plant,2019,0.7439621650625236,0.43660708959047756,577,145
Plant,2020,0.7463605899495467,0.3845624765012448,820,205
Plant,2021,0.6818926863410488,0.4915679581025215,883,221
Plant,2022,0.6966094677812453,0.486112014940033,904,226
