Level,Year,R2,RMSE_log,N_rows,N_units,folds
Grid,2019,0.3848223747437529,1.1742198601844158,4842,538,5
Grid,2020,0.3482532378375104,1.2044675682059052,6742,609,5
Grid,2021,0.37108026439821484,1.2166872214002624,7368,623,5
Grid,2022,0.36887450642499997,1.2302824115722957,7498,638,5
Plant,2019,0.10696403021541667,0.7162748164214726,722,82,5
Plant,2020,-0.12922714477007768,0.8064626144971057,1025,90,5
Plant,2021,0.0685356954873001,0.7979896064870912,1104,94,5
Plant,2022,0.11382047709348031,0.8157990289501851,1130,96,5
