lat,lon,prob
25.54791779425925,103.80983803825724,0.9520732
25.76796714612128,104.43155880235292,0.875657
25.48758584292217,101.17185781841698,0.6671989
24.7854582914006,102.42662279479148,0.62850547
23.44452544575441,103.32770746071888,0.8720074
24.483942817096317,104.15966582227202,0.5025973
23.455010757045724,103.33859104235675,0.8745668
24.112770117268653,102.69093773485648,0.8525374
24.04191684601856,101.57801060301504,0.89137506
24.954640822767857,103.1760585680452,0.5155747
25.19016601864772,102.61826028135432,0.76319087
26.05840739082617,101.71740558240244,0.9656632
25.4742300883505,103.64100598299451,0.8604435
23.38264487954872,103.32882548255316,0.9472508
25.520262005957893,101.22713299153794,0.904945
23.484888653029117,103.27159307512304,0.62938446
25.489546229568315,101.22842340421845,0.77067953
23.967811628779483,103.18456160313175,0.85821545
23.514534347299907,103.19347486377411,0.76689005
24.768788086448968,102.5956215157057,0.8942269
23.402569334283157,103.2841978026301,0.96005094
23.342404711700443,103.39590965278032,0.94528383
24.444604822710808,102.81687187700416,0.830439
23.38176231874612,103.27351894632282,0.9162331
24.05393847362141,101.97895300031216,0.9121356
25.48404982677852,103.6068916867828,0.9145596
23.20859921823825,102.83496747481328,0.66799176
23.43260301830711,103.22828743537777,0.7677797
25.21336350945405,101.25127629762764,0.90173936
23.73224448556501,103.26695340893546,0.96658117
23.39243308914317,103.29545150444076,0.9232786
23.707307031033903,102.52342394062865,0.9522501
24.209014597253965,102.39818804421868,0.77827126
23.362015108431034,103.32919782439858,0.7014256
24.113002767311947,103.24860224278022,0.59896505
23.45322744531507,103.22789230646468,0.9107865
24.972014502819945,102.50014215442388,0.5836057
23.3525533086094,103.3846730313906,0.96340704
25.177316720312287,102.08814011232832,0.6484332
23.652008862375567,102.82456415776385,0.86556876
24.8280926084362,102.4928683010567,0.6106288
24.864100518659544,103.2903319742336,0.8989972
24.374001025168145,103.50083824193976,0.94521636
23.4141026635976,103.36146217287369,0.80128646
25.03953661017307,102.31797140728727,0.8488144
23.30097032989777,103.3855721887009,0.86143166
24.17544027096459,102.73400330459936,0.9488324
25.09296775976532,102.88014150596122,0.8914406
23.208097842695707,103.38718815204643,0.59040344
23.621544272999497,102.84747111877957,0.8882654
25.4725232090922,101.03656244580172,0.78445154
24.073885044177743,101.95599247097746,0.6578719
26.208675480483528,101.963071938172,0.5478551
24.76165617717274,102.74184921773556,0.9506333
22.54325868331725,103.93591855998754,0.581198
26.5488075663456,101.69922624799632,0.9991601
25.48993480525752,101.23973681654186,0.92382246
25.44521500601905,103.7885642723598,0.9411165
23.464086223158155,103.26090754855387,0.84793144
24.38871269547749,102.60564279018624,0.72932035
23.44364248143902,103.2723639389103,0.8775842
24.712315062914254,101.63139320720528,0.9260074
23.76648007225229,102.41070525391063,0.93136084
25.09823296888061,101.4929360618506,0.9177874
25.07662332102868,102.5874343790878,0.78565437
24.57292692482285,103.7889815182724,0.9321851
23.701155915796143,103.25643522522329,0.985712
23.87996703017851,103.49777833979851,0.5346413
24.96738966173671,102.7592357206133,0.95410943
23.51772507235557,103.39286666321186,0.5899119
23.39022513202444,103.16270440852354,0.9355654
25.473070630314783,103.5504588035944,0.93610984
26.616673631529725,104.4261101007594,0.5344611
25.51041236907598,101.23887921475956,0.9696104
24.34734729733227,102.59554475237084,0.9143855
24.94251200368929,102.55723967329196,0.90176964
24.38316647210637,103.42238990733098,0.9539437
23.42319608177116,103.28381526584585,0.9504608
24.055181851244868,102.02350848038785,0.9098731
23.71382683004336,102.82310457948869,0.5790223
25.120789134474105,102.73287397437578,0.93971
23.4644452127316,103.28304968038238,0.95072573
24.43432743729885,102.8171179263496,0.90284324
25.01021058792805,101.63156933052964,0.8916518
25.05866094249039,101.53956984267178,0.95066386
26.02568506936228,101.65023519483228,0.86336786
25.13591570991683,102.98064984440148,0.94732314
26.58030396943975,101.40117405412347,0.8379893
25.69247339483556,103.92139722380551,0.85611296
24.562270836316227,103.75550255526451,0.94705206
25.06856309089252,102.6890971798032,0.96004784
25.240970105725733,101.1597395682444,0.9232644
24.81107913915813,102.65070048193532,0.9253396
23.404625730774367,103.41696529440212,0.8364794
24.423823142299664,102.80617758578218,0.92571545
23.308455776005783,103.20854978050934,0.71274024
25.02245716866804,102.94938755282794,0.55534375
25.483983616053266,101.07004605452978,0.6394948
25.51002372858726,101.22756322715162,0.9351837
24.679976435236416,102.7663260609454,0.87392426
24.84098239477847,103.1333756733072,0.8512896
